what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950635905
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950635972
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428950636265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950645701
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950645853
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950656171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950659364
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950659545
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950664241
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950670786
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.findReplace",1428950670889
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950689429
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1428950698422
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950730647
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950730789
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950733265
closed,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428950733268
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1428950733303
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950736046
closed,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950736084
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1428950741789
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950742164
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950742428
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1428950746423
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428950751459
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428950751684
activated,view,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.views.FormView",1428950752897
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428950755331
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950832590
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950843724
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950855182
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950856502
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950856678
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950857221
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950875665
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950875851
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950876008
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950876162
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950876308
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950876464
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950876626
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1428950876787
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1428950898533
started,bundle,org.eclipse.ui.views.log,1.0.100.v20090731,"org.eclipse.ui.views.log",1428950903551
started,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1428950903577
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1428950911621
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950917171
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950929336
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950943037
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950947390
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950975230
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950978574
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950983254
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428950989300
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428950995668
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428951000168
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428951006023
