what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363085093
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363219417
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429363219477
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429363222825
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363230244
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363297306
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429363316223
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1429363335919
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1429363340020
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363374189
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363399153
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363412354
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363415428
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1429363452838
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1429363452984
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1429363453142
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1429363453289
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1429363453568
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363486452
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363493351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363497652
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363499028
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363500753
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363506649
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429363508876
