what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1428910537977
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428910538276
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428910538350
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1428910543379
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428910543649
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428910543724
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910571363
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910661955
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1428910661986
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910666525
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910698368
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910700437
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910703822
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1428910703851
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910767245
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910767396
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910767407
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428910786107
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1428910786157
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1428911193542
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1428911195962
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428911204057
