what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1429006072891
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,3.0.0.I20121013-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1429006072891
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1429006072892
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1429006072893
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1429006072893
os,sysinfo,,,"win32",1429006072897
arch,sysinfo,,,"x86",1429006072897
ws,sysinfo,,,"win32",1429006072897
locale,sysinfo,,,"en_IN",1429006072897
processors,sysinfo,,,"4",1429006072897
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429006072897
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1429006072897
java.specification.name,sysinfo,,,"Java Platform API Specification",1429006072897
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429006072897
java.specification.version,sysinfo,,,"1.6",1429006072897
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1429006072897
java.version,sysinfo,,,"1.6.0_16",1429006072897
java.vm.info,sysinfo,,,"mixed mode",1429006072897
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1429006072897
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429006072897
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429006072897
java.vm.specification.version,sysinfo,,,"1.0",1429006072897
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1429006072897
java.vm.version,sysinfo,,,"14.2-b01",1429006072897
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1429006072922
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1429006073724
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.201.R35x_v20090925-1100,"org.eclipse.jdt.apt.pluggable.core",1429006073727
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1429006073774
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429006082395
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1429006083370
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1429006083400
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1429006084109
started,bundle,org.eclipse.jst.jee.ejb,1.0.201.v201002021057,"org.eclipse.jst.jee.ejb",1429006084336
started,bundle,org.eclipse.jst.jee.web,1.0.201.v201002031231,"org.eclipse.jst.jee.web",1429006084344
started,bundle,org.eclipse.jst.server.core,1.2.1.v20100127,"org.eclipse.jst.server.core",1429006084382
started,bundle,org.eclipse.jst.server.tomcat.core,1.1.106.v20090814,"org.eclipse.jst.server.tomcat.core",1429006084423
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429006084946
started,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1429006085564
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.0.v20090311b,"org.eclipse.jst.server.preview.adapter",1429006085568
