what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429792802985
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429792934687
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429792940532
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429792943734
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429793122861
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793244910
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429793249309
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429793252443
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429793262184
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429793284491
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429793302056
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793366133
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793402057
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793402786
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793409279
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793419417
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793426719
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793432220
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793434234
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1429793438416
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793441566
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793447797
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429793447841
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1429793488944
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793615757
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793694676
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429793696662
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793698375
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793700653
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429793700918
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429793702068
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429793703564
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793703857
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793705255
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429793705269
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1429793899404
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.refresh",1429793905147
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429793908526
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1429793911135
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793914597
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793921107
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429793921146
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429793928464
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429793929910
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1429793941753
executed,command,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1429793946351
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793947568
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429793962577
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429793962621
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429794004265
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794011465
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794014558
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429794014571
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1429794039149
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794054036
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794062690
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794110795
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794112892
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429794112937
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1429794158185
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794173201
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794211168
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429794212817
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794214970
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794217290
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429794217565
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429794218668
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429794220100
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794220439
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794221789
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429794221799
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429794291522
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794294379
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794305747
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429794308760
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429794356929
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1429794356981
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794396441
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429794405827
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429794405856
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1429795059540
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795066401
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795115829
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1429795115909
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1429795115910
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795118782
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429795143666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795150095
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795150232
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795189801
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1429795196097
started,bundle,org.eclipse.wst.ws.service.policy,1.0.103.v200905151848,"org.eclipse.wst.ws.service.policy",1429795196359
started,bundle,org.eclipse.wst.command.env,1.0.408.v200903110045,"org.eclipse.wst.command.env",1429795196436
started,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1429795196445
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795202642
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795257768
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1429795257827
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.export",1429795257827
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795259341
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429795428852
