what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998125168
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998144417
activated,view,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.views.FormView",1428998149292
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998152057
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998154100
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428998154188
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998158235
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998160431
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1428998204244
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428998207312
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1428998225625
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1428998225819
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428998228463
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428998259648
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1428998265255
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1428998265495
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.toggleShowWhitespaceCharacters",1428998267088
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.toggleShowWhitespaceCharacters",1428998269808
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428998270975
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1428998278235
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1428998281113
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998283984
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998288188
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1428998298992
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998303840
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998308015
activated,view,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.views.FormView",1428998313529
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428998313569
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998313657
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1428998316480
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1428998316683
