what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1429788627317
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788632412
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788634901
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1429788635138
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788635176
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788637985
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1429788638005
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429788638098
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429788639110
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429788640213
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429788640401
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429788640588
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429788641593
activated,view,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui.ServersView",1429788642877
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788643072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788644221
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429788644237
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429788673988
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1429788676232
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429788676507
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788680962
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788683819
executed,command,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.launchShortcut.run",1429788683849
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788683971
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429788692664
