what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.core,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.core",1429432686727
started,bundle,org.eclipse.mylyn.context.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.context.tasks.ui",1429432686760
started,bundle,org.eclipse.mylyn.monitor.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.monitor.ui",1429432686800
started,bundle,org.eclipse.mylyn.tasks.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.tasks.ui",1429432686855
started,bundle,org.eclipse.mylyn.team.ui,3.8.2.v20120916-1200,"org.eclipse.mylyn.team.ui",1429432686883
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,3.0.0.I20121013-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1429432686883
started,bundle,com.android.ide.eclipse.adt,16.0.1.v201112150204-238534,"com.android.ide.eclipse.adt",1429432686901
started,bundle,com.android.ide.eclipse.ddms,16.0.1.v201112150204-238534,"com.android.ide.eclipse.ddms",1429432686950
started,bundle,com.android.ide.eclipse.traceview,16.0.1.v201112150204-238534,"com.android.ide.eclipse.traceview",1429432686951
os,sysinfo,,,"win32",1429432686965
arch,sysinfo,,,"x86",1429432686965
ws,sysinfo,,,"win32",1429432686965
locale,sysinfo,,,"en_IN",1429432686965
processors,sysinfo,,,"4",1429432686965
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1429432686965
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1429432686965
java.specification.name,sysinfo,,,"Java Platform API Specification",1429432686965
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429432686965
java.specification.version,sysinfo,,,"1.6",1429432686965
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1429432686965
java.version,sysinfo,,,"1.6.0_16",1429432686965
java.vm.info,sysinfo,,,"mixed mode",1429432686965
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1429432686965
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1429432686965
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1429432686965
java.vm.specification.version,sysinfo,,,"1.0",1429432686965
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1429432686965
java.vm.version,sysinfo,,,"14.2-b01",1429432686965
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1429432687547
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1429435527576
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1429435587901
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435589862
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435688995
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1429435696389
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435698484
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435752310
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435765775
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435768031
started,bundle,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo",1429435769632
opened,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1429435770688
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1429435771295
opened,view,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.views.FormView",1429435771803
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435784212
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435784292
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435789709
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435789843
started,bundle,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui",1429435791933
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1429435792484
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1429435792543
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1429435792753
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1429435793238
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435796742
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435811616
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1429435811661
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435850953
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435864603
activated,editor,com.cloudgarden.jigloo,4.6.3,"com.cloudgarden.jigloo.editors.FormEditor",1429435869274
started,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1429435873634
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1429435935453
